# description=Truncated (no Omega_1_num): $m_\Delta = 700~\mathrm{MeV}$
# include_omega_1_num=False
# m_delta_mev=700.0
# g_delta_factor=2.0000
# lambda_3_factor=1.0000
# lambda_delta_factor=0.2500
# t_loop4_factor=4.0
# residual_cutoff_mev=3000.0
# mu_min_mev=0.0
# mu_max_mev=900.0
# num_points=5000
# columns=mu_q_mev phi_mev delta_mev gap_mev phase_2sc omega_min_mev4 pressure_mev4 n_q_mev3 energy_density_mev4 cs2 success
2.070e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
2.088e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
2.106e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
2.124e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
2.142e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
2.160e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
2.178e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
2.196e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
2.214e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
2.232e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
2.250e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
2.268e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
2.286e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
