# pipeline=quark_stars
# construction=with_maxwell
# m_sigma_mev=600.000000
# units=chemical potentials and sigma in MeV; densities in fm^-3; pressure and energy density in GeV fm^-3
# B0_mev4=5.806289137042e+08
# B0_gev_fm3=7.556822962283e-02
# B_mev4=0.000000000000e+00
# B_gev_fm3=0.000000000000e+00
# B_1_4_mev=0.000000
# columns=mu_u_mev mu_d_mev mu_e_mev sigma_mev constituent_mass_mev n_u_fm-3 n_d_fm-3 n_e_fm-3 n_B_fm-3 pressure_gev_fm-3 energy_density_gev_fm-3
2.946e+02 3.614e+02 6.686e+01 3.271e+01 1.055e+02 2.744e-01 5.448e-01 1.313e-03 2.730e-01 8.962e-03 2.688e-01
2.946e+02 3.616e+02 6.698e+01 3.251e+01 1.049e+02 2.753e-01 5.466e-01 1.321e-03 2.740e-01 9.078e-03 2.698e-01
2.947e+02 3.618e+02 6.711e+01 3.230e+01 1.042e+02 2.762e-01 5.485e-01 1.328e-03 2.749e-01 9.195e-03 2.707e-01
2.948e+02 3.620e+02 6.723e+01 3.210e+01 1.035e+02 2.772e-01 5.504e-01 1.336e-03 2.758e-01 9.315e-03 2.717e-01
2.948e+02 3.622e+02 6.736e+01 3.189e+01 1.029e+02 2.781e-01 5.522e-01 1.343e-03 2.768e-01 9.437e-03 2.727e-01
2.949e+02 3.624e+02 6.748e+01 3.169e+01 1.022e+02 2.791e-01 5.541e-01 1.351e-03 2.777e-01 9.562e-03 2.736e-01
2.950e+02 3.626e+02 6.761e+01 3.148e+01 1.015e+02 2.800e-01 5.560e-01 1.358e-03 2.787e-01 9.688e-03 2.746e-01
2.950e+02 3.628e+02 6.774e+01 3.128e+01 1.009e+02 2.810e-01 5.579e-01 1.366e-03 2.796e-01 9.817e-03 2.756e-01
2.951e+02 3.630e+02 6.786e+01 3.107e+01 1.002e+02 2.820e-01 5.598e-01 1.374e-03 2.806e-01 9.948e-03 2.765e-01
2.952e+02 3.632e+02 6.799e+01 3.087e+01 9.956e+01 2.829e-01 5.617e-01 1.381e-03 2.816e-01 1.008e-02 2.775e-01
2.953e+02 3.634e+02 6.811e+01 3.066e+01 9.890e+01 2.839e-01 5.637e-01 1.389e-03 2.825e-01 1.022e-02 2.785e-01
2.953e+02 3.636e+02 6.824e+01 3.046e+01 9.824e+01 2.849e-01 5.656e-01 1.396e-03 2.835e-01 1.036e-02 2.795e-01
2.954e+02 3.638e+02 6.836e+01 3.025e+01 9.758e+01 2.859e-01 5.675e-01 1.404e-03 2.845e-01 1.050e-02 2.805e-01
2.955e+02 3.640e+02 6.849e+01 3.004e+01 9.692e+01 2.869e-01 5.695e-01 1.412e-03 2.855e-01 1.064e-02 2.815e-01
2.956e+02 3.642e+02 6.861e+01 2.984e+01 9.626e+01 2.879e-01 5.715e-01 1.420e-03 2.864e-01 1.079e-02 2.825e-01
2.957e+02 3.644e+02 6.873e+01 2.963e+01 9.560e+01 2.889e-01 5.734e-01 1.427e-03 2.874e-01 1.094e-02 2.835e-01
2.958e+02 3.646e+02 6.886e+01 2.943e+01 9.494e+01 2.899e-01 5.754e-01 1.435e-03 2.884e-01 1.109e-02 2.846e-01
2.959e+02 3.649e+02 6.898e+01 2.922e+01 9.427e+01 2.909e-01 5.774e-01 1.443e-03 2.894e-01 1.125e-02 2.856e-01
2.960e+02 3.651e+02 6.911e+01 2.902e+01 9.361e+01 2.919e-01 5.794e-01 1.451e-03 2.904e-01 1.141e-02 2.866e-01
2.961e+02 3.653e+02 6.923e+01 2.881e+01 9.295e+01 2.929e-01 5.814e-01 1.459e-03 2.914e-01 1.157e-02 2.877e-01
2.962e+02 3.655e+02 6.936e+01 2.861e+01 9.229e+01 2.939e-01 5.835e-01 1.467e-03 2.925e-01 1.173e-02 2.887e-01
2.963e+02 3.658e+02 6.948e+01 2.840e+01 9.163e+01 2.950e-01 5.855e-01 1.474e-03 2.935e-01 1.190e-02 2.898e-01
2.964e+02 3.660e+02 6.961e+01 2.820e+01 9.097e+01 2.960e-01 5.876e-01 1.482e-03 2.945e-01 1.207e-02 2.908e-01
2.965e+02 3.662e+02 6.973e+01 2.799e+01 9.031e+01 2.970e-01 5.896e-01 1.490e-03 2.956e-01 1.225e-02 2.919e-01
2.966e+02 3.665e+02 6.986e+01 2.779e+01 8.964e+01 2.981e-01 5.917e-01 1.498e-03 2.966e-01 1.242e-02 2.930e-01
2.967e+02 3.667e+02 6.998e+01 2.758e+01 8.898e+01 2.992e-01 5.938e-01 1.507e-03 2.977e-01 1.260e-02 2.940e-01
2.969e+02 3.670e+02 7.011e+01 2.738e+01 8.832e+01 3.002e-01 5.959e-01 1.515e-03 2.987e-01 1.279e-02 2.951e-01
2.970e+02 3.672e+02 7.023e+01 2.717e+01 8.766e+01 3.013e-01 5.980e-01 1.523e-03 2.998e-01 1.298e-02 2.962e-01
2.971e+02 3.675e+02 7.036e+01 2.697e+01 8.700e+01 3.024e-01 6.002e-01 1.531e-03 3.009e-01 1.317e-02 2.973e-01
2.973e+02 3.677e+02 7.049e+01 2.676e+01 8.634e+01 3.035e-01 6.023e-01 1.539e-03 3.019e-01 1.337e-02 2.985e-01
2.974e+02 3.680e+02 7.061e+01 2.656e+01 8.568e+01 3.046e-01 6.045e-01 1.547e-03 3.030e-01 1.357e-02 2.996e-01
2.975e+02 3.683e+02 7.074e+01 2.635e+01 8.501e+01 3.057e-01 6.067e-01 1.556e-03 3.041e-01 1.377e-02 3.007e-01
2.977e+02 3.685e+02 7.086e+01 2.615e+01 8.435e+01 3.068e-01 6.089e-01 1.564e-03 3.052e-01 1.398e-02 3.019e-01
2.978e+02 3.688e+02 7.099e+01 2.594e+01 8.369e+01 3.079e-01 6.111e-01 1.572e-03 3.064e-01 1.419e-02 3.030e-01
2.980e+02 3.691e+02 7.112e+01 2.574e+01 8.303e+01 3.091e-01 6.134e-01 1.581e-03 3.075e-01 1.441e-02 3.042e-01
2.981e+02 3.694e+02 7.124e+01 2.553e+01 8.237e+01 3.102e-01 6.156e-01 1.589e-03 3.086e-01 1.463e-02 3.054e-01
2.983e+02 3.697e+02 7.137e+01 2.533e+01 8.171e+01 3.114e-01 6.179e-01 1.598e-03 3.098e-01 1.486e-02 3.066e-01
2.985e+02 3.700e+02 7.150e+01 2.512e+01 8.105e+01 3.125e-01 6.202e-01 1.607e-03 3.109e-01 1.509e-02 3.078e-01
2.986e+02 3.703e+02 7.163e+01 2.492e+01 8.038e+01 3.137e-01 6.226e-01 1.615e-03 3.121e-01 1.533e-02 3.090e-01
2.988e+02 3.706e+02 7.176e+01 2.471e+01 7.972e+01 3.149e-01 6.249e-01 1.624e-03 3.133e-01 1.557e-02 3.102e-01
2.990e+02 3.709e+02 7.188e+01 2.451e+01 7.906e+01 3.161e-01 6.273e-01 1.633e-03 3.145e-01 1.582e-02 3.114e-01
2.992e+02 3.712e+02 7.201e+01 2.430e+01 7.840e+01 3.173e-01 6.297e-01 1.641e-03 3.157e-01 1.607e-02 3.127e-01
2.993e+02 3.715e+02 7.214e+01 2.410e+01 7.774e+01 3.185e-01 6.321e-01 1.650e-03 3.169e-01 1.632e-02 3.139e-01
2.995e+02 3.718e+02 7.227e+01 2.389e+01 7.708e+01 3.198e-01 6.345e-01 1.659e-03 3.181e-01 1.659e-02 3.152e-01
2.997e+02 3.721e+02 7.240e+01 2.369e+01 7.642e+01 3.210e-01 6.370e-01 1.668e-03 3.193e-01 1.686e-02 3.165e-01
2.999e+02 3.725e+02 7.253e+01 2.348e+01 7.575e+01 3.223e-01 6.395e-01 1.677e-03 3.206e-01 1.713e-02 3.178e-01
3.001e+02 3.728e+02 7.267e+01 2.328e+01 7.509e+01 3.235e-01 6.420e-01 1.686e-03 3.218e-01 1.741e-02 3.191e-01
3.003e+02 3.731e+02 7.280e+01 2.307e+01 7.443e+01 3.248e-01 6.446e-01 1.696e-03 3.231e-01 1.770e-02 3.205e-01
3.005e+02 3.735e+02 7.293e+01 2.287e+01 7.377e+01 3.261e-01 6.471e-01 1.705e-03 3.244e-01 1.799e-02 3.218e-01
3.008e+02 3.738e+02 7.306e+01 2.266e+01 7.311e+01 3.274e-01 6.498e-01 1.714e-03 3.257e-01 1.829e-02 3.232e-01
3.010e+02 3.742e+02 7.320e+01 2.246e+01 7.245e+01 3.288e-01 6.524e-01 1.724e-03 3.271e-01 1.860e-02 3.246e-01
3.012e+02 3.746e+02 7.333e+01 2.225e+01 7.179e+01 3.301e-01 6.551e-01 1.733e-03 3.284e-01 1.891e-02 3.260e-01
3.015e+02 3.749e+02 7.347e+01 2.205e+01 7.112e+01 3.315e-01 6.578e-01 1.743e-03 3.298e-01 1.923e-02 3.274e-01
3.017e+02 3.753e+02 7.360e+01 2.184e+01 7.046e+01 3.329e-01 6.605e-01 1.753e-03 3.311e-01 1.956e-02 3.289e-01
3.019e+02 3.757e+02 7.374e+01 2.164e+01 6.980e+01 3.343e-01 6.633e-01 1.762e-03 3.325e-01 1.990e-02 3.304e-01
3.022e+02 3.761e+02 7.388e+01 2.143e+01 6.914e+01 3.357e-01 6.661e-01 1.772e-03 3.339e-01 2.025e-02 3.319e-01
3.025e+02 3.765e+02 7.402e+01 2.123e+01 6.848e+01 3.372e-01 6.690e-01 1.782e-03 3.354e-01 2.060e-02 3.334e-01
3.027e+02 3.769e+02 7.415e+01 2.102e+01 6.782e+01 3.386e-01 6.719e-01 1.792e-03 3.368e-01 2.096e-02 3.349e-01
3.030e+02 3.773e+02 7.430e+01 2.082e+01 6.716e+01 3.401e-01 6.748e-01 1.802e-03 3.383e-01 2.133e-02 3.365e-01
3.033e+02 3.777e+02 7.444e+01 2.061e+01 6.649e+01 3.416e-01 6.778e-01 1.813e-03 3.398e-01 2.171e-02 3.380e-01
3.036e+02 3.781e+02 7.458e+01 2.041e+01 6.583e+01 3.431e-01 6.808e-01 1.823e-03 3.413e-01 2.210e-02 3.396e-01
3.039e+02 3.786e+02 7.472e+01 2.020e+01 6.517e+01 3.447e-01 6.839e-01 1.834e-03 3.429e-01 2.250e-02 3.413e-01
3.042e+02 3.790e+02 7.487e+01 2.000e+01 6.451e+01 3.463e-01 6.870e-01 1.844e-03 3.444e-01 2.291e-02 3.429e-01
3.045e+02 3.795e+02 7.501e+01 1.979e+01 6.385e+01 3.479e-01 6.902e-01 1.855e-03 3.460e-01 2.332e-02 3.446e-01
3.048e+02 3.799e+02 7.516e+01 1.959e+01 6.319e+01 3.495e-01 6.934e-01 1.866e-03 3.476e-01 2.375e-02 3.463e-01
3.051e+02 3.804e+02 7.531e+01 1.938e+01 6.253e+01 3.512e-01 6.967e-01 1.877e-03 3.493e-01 2.420e-02 3.481e-01
3.054e+02 3.809e+02 7.546e+01 1.918e+01 6.186e+01 3.528e-01 7.000e-01 1.888e-03 3.509e-01 2.465e-02 3.499e-01
3.058e+02 3.814e+02 7.561e+01 1.897e+01 6.120e+01 3.545e-01 7.034e-01 1.900e-03 3.526e-01 2.511e-02 3.517e-01
3.061e+02 3.819e+02 7.576e+01 1.877e+01 6.054e+01 3.563e-01 7.068e-01 1.911e-03 3.544e-01 2.559e-02 3.535e-01
3.065e+02 3.824e+02 7.591e+01 1.856e+01 5.988e+01 3.581e-01 7.103e-01 1.923e-03 3.561e-01 2.608e-02 3.554e-01
3.068e+02 3.829e+02 7.607e+01 1.836e+01 5.922e+01 3.599e-01 7.139e-01 1.935e-03 3.579e-01 2.658e-02 3.573e-01
3.072e+02 3.834e+02 7.623e+01 1.815e+01 5.856e+01 3.617e-01 7.176e-01 1.947e-03 3.597e-01 2.710e-02 3.593e-01
3.076e+02 3.840e+02 7.639e+01 1.795e+01 5.790e+01 3.636e-01 7.213e-01 1.959e-03 3.616e-01 2.763e-02 3.613e-01
3.080e+02 3.845e+02 7.655e+01 1.774e+01 5.724e+01 3.655e-01 7.250e-01 1.971e-03 3.635e-01 2.817e-02 3.633e-01
3.084e+02 3.851e+02 7.671e+01 1.754e+01 5.657e+01 3.674e-01 7.289e-01 1.984e-03 3.654e-01 2.874e-02 3.654e-01
3.088e+02 3.857e+02 7.687e+01 1.733e+01 5.591e+01 3.694e-01 7.328e-01 1.997e-03 3.674e-01 2.931e-02 3.676e-01
3.092e+02 3.863e+02 7.704e+01 1.713e+01 5.525e+01 3.714e-01 7.368e-01 2.010e-03 3.694e-01 2.991e-02 3.697e-01
3.097e+02 3.869e+02 7.721e+01 1.692e+01 5.459e+01 3.735e-01 7.409e-01 2.023e-03 3.715e-01 3.052e-02 3.720e-01
3.101e+02 3.875e+02 7.738e+01 1.672e+01 5.393e+01 3.756e-01 7.451e-01 2.036e-03 3.736e-01 3.115e-02 3.742e-01
3.106e+02 3.881e+02 7.755e+01 1.651e+01 5.327e+01 3.778e-01 7.494e-01 2.050e-03 3.757e-01 3.180e-02 3.766e-01
3.111e+02 3.888e+02 7.773e+01 1.631e+01 5.261e+01 3.800e-01 7.538e-01 2.064e-03 3.779e-01 3.246e-02 3.790e-01
3.115e+02 3.895e+02 7.791e+01 1.610e+01 5.194e+01 3.822e-01 7.582e-01 2.078e-03 3.802e-01 3.315e-02 3.814e-01
3.120e+02 3.901e+02 7.809e+01 1.590e+01 5.128e+01 3.846e-01 7.628e-01 2.093e-03 3.825e-01 3.386e-02 3.839e-01
3.126e+02 3.908e+02 7.827e+01 1.569e+01 5.062e+01 3.869e-01 7.675e-01 2.108e-03 3.848e-01 3.459e-02 3.865e-01
3.131e+02 3.915e+02 7.846e+01 1.549e+01 4.996e+01 3.893e-01 7.723e-01 2.123e-03 3.872e-01 3.535e-02 3.891e-01
3.136e+02 3.923e+02 7.865e+01 1.528e+01 4.930e+01 3.918e-01 7.772e-01 2.138e-03 3.897e-01 3.613e-02 3.918e-01
3.142e+02 3.930e+02 7.884e+01 1.508e+01 4.864e+01 3.944e-01 7.823e-01 2.154e-03 3.922e-01 3.693e-02 3.946e-01
3.148e+02 3.938e+02 7.904e+01 1.487e+01 4.798e+01 3.970e-01 7.874e-01 2.170e-03 3.948e-01 3.777e-02 3.975e-01
3.154e+02 3.946e+02 7.924e+01 1.467e+01 4.731e+01 3.997e-01 7.928e-01 2.187e-03 3.975e-01 3.863e-02 4.004e-01
3.160e+02 3.954e+02 7.944e+01 1.446e+01 4.665e+01 4.024e-01 7.982e-01 2.204e-03 4.002e-01 3.951e-02 4.034e-01
3.166e+02 3.962e+02 7.965e+01 1.426e+01 4.599e+01 4.052e-01 8.038e-01 2.221e-03 4.030e-01 4.043e-02 4.065e-01
3.172e+02 3.971e+02 7.986e+01 1.405e+01 4.533e+01 4.081e-01 8.096e-01 2.239e-03 4.059e-01 4.139e-02 4.097e-01
3.179e+02 3.980e+02 8.008e+01 1.385e+01 4.467e+01 4.111e-01 8.155e-01 2.257e-03 4.089e-01 4.237e-02 4.130e-01
3.186e+02 3.989e+02 8.030e+01 1.364e+01 4.401e+01 4.142e-01 8.216e-01 2.275e-03 4.119e-01 4.339e-02 4.164e-01
3.193e+02 3.998e+02 8.052e+01 1.344e+01 4.335e+01 4.174e-01 8.279e-01 2.295e-03 4.151e-01 4.445e-02 4.200e-01
3.200e+02 4.008e+02 8.075e+01 1.323e+01 4.268e+01 4.206e-01 8.343e-01 2.314e-03 4.183e-01 4.555e-02 4.236e-01
3.207e+02 4.017e+02 8.098e+01 1.303e+01 4.202e+01 4.240e-01 8.410e-01 2.334e-03 4.217e-01 4.669e-02 4.273e-01
3.215e+02 4.027e+02 8.122e+01 1.282e+01 4.136e+01 4.275e-01 8.479e-01 2.355e-03 4.251e-01 4.787e-02 4.312e-01
3.223e+02 4.038e+02 8.147e+01 1.262e+01 4.070e+01 4.310e-01 8.550e-01 2.377e-03 4.287e-01 4.910e-02 4.352e-01
3.231e+02 4.049e+02 8.172e+01 1.241e+01 4.004e+01 4.347e-01 8.623e-01 2.399e-03 4.323e-01 5.038e-02 4.394e-01
3.240e+02 4.060e+02 8.198e+01 1.221e+01 3.938e+01 4.386e-01 8.699e-01 2.422e-03 4.361e-01 5.171e-02 4.437e-01
3.249e+02 4.071e+02 8.224e+01 1.200e+01 3.872e+01 4.425e-01 8.777e-01 2.445e-03 4.401e-01 5.309e-02 4.482e-01
