# pipeline=simple
# diagnostic=speed_of_sound_squared
# definition=c_s^2=(dP/dmu_q)/(depsilon/dmu_q) on the P>=0 branch
# units=mu_q in MeV; c_s^2 dimensionless
# m_sigma_1_mev=500.000000
# m_sigma_2_mev=600.000000
# m_sigma_3_mev=700.000000
# columns=mu_q_mev_sigma_500 c_s2_sigma_500 mu_q_mev_sigma_600 c_s2_sigma_600 mu_q_mev_sigma_700 c_s2_sigma_700
4.699e+02 3.326e-01 4.749e+02 3.323e-01 4.749e+02 3.303e-01
4.712e+02 3.326e-01 4.762e+02 3.323e-01 4.762e+02 3.304e-01
4.724e+02 3.326e-01 4.774e+02 3.323e-01 4.774e+02 3.305e-01
4.737e+02 3.327e-01 4.787e+02 3.323e-01 4.787e+02 3.306e-01
4.749e+02 3.327e-01 4.799e+02 3.324e-01 4.799e+02 3.307e-01
4.762e+02 3.327e-01 4.812e+02 3.324e-01 4.812e+02 3.308e-01
4.774e+02 3.327e-01 4.825e+02 3.324e-01 4.825e+02 3.309e-01
4.787e+02 3.327e-01 4.837e+02 3.324e-01 4.837e+02 3.310e-01
4.799e+02 3.327e-01 4.850e+02 3.325e-01 4.850e+02 3.311e-01
4.812e+02 3.327e-01 4.862e+02 3.325e-01 4.862e+02 3.311e-01
4.825e+02 3.328e-01 4.875e+02 3.325e-01 4.875e+02 3.312e-01
4.837e+02 3.328e-01 4.887e+02 3.325e-01 4.887e+02 3.313e-01
4.850e+02 3.328e-01 4.900e+02 3.325e-01 4.900e+02 3.313e-01
4.862e+02 3.328e-01 4.912e+02 3.326e-01 4.912e+02 3.314e-01
4.875e+02 3.328e-01 4.925e+02 3.326e-01 4.925e+02 3.315e-01
4.887e+02 3.328e-01 4.937e+02 3.326e-01 4.937e+02 3.315e-01
4.900e+02 3.328e-01 4.950e+02 3.326e-01 4.950e+02 3.316e-01
4.912e+02 3.328e-01 4.962e+02 3.326e-01 4.962e+02 3.316e-01
4.925e+02 3.328e-01 4.975e+02 3.326e-01 4.975e+02 3.317e-01
4.937e+02 3.329e-01 4.987e+02 3.327e-01 4.987e+02 3.317e-01
4.950e+02 3.329e-01 5.000e+02 3.327e-01 5.000e+02 3.318e-01
4.962e+02 3.329e-01 nan nan nan nan
4.975e+02 3.329e-01 nan nan nan nan
4.987e+02 3.329e-01 nan nan nan nan
5.000e+02 3.329e-01 nan nan nan nan
