# pipeline=simple
# m_sigma_mev=700.000000
# B0_applied=true
# B0_mev4=8.701357784147e+08
# B_used_mev4=0.000000000000e+00
# units=mu/sigma/mass in MeV; densities in MeV^3 and fm^-3; pressure/energy in MeV^4 and GeV fm^-3
# columns=mu_q_mev sigma_mev constituent_mass_mev n_q_mev3 n_q_fm-3 pressure_mev4 pressure_gev_fm-3 energy_density_mev4 energy_density_gev_fm-3
1.692e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -1.192e-07 -1.551e-17 1.192e-07 1.551e-17
1.704e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
1.717e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
1.729e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -4.768e-07 -6.206e-17 4.768e-07 6.206e-17
1.742e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -3.576e-07 -4.654e-17 3.576e-07 4.654e-17
1.754e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -4.768e-07 -6.206e-17 4.768e-07 6.206e-17
1.767e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
1.779e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
1.792e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -4.768e-07 -6.206e-17 4.768e-07 6.206e-17
1.805e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -4.768e-07 -6.206e-17 4.768e-07 6.206e-17
1.817e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.830e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
1.842e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
1.855e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -5.960e-07 -7.757e-17 5.960e-07 7.757e-17
1.867e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -4.768e-07 -6.206e-17 4.768e-07 6.206e-17
1.880e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -3.576e-07 -4.654e-17 3.576e-07 4.654e-17
1.892e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -5.960e-07 -7.757e-17 5.960e-07 7.757e-17
1.905e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -4.768e-07 -6.206e-17 4.768e-07 6.206e-17
1.917e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
1.930e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
1.942e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
1.955e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
1.967e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -3.576e-07 -4.654e-17 3.576e-07 4.654e-17
1.980e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
1.992e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
2.005e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -3.576e-07 -4.654e-17 3.576e-07 4.654e-17
2.018e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
2.030e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -4.768e-07 -6.206e-17 4.768e-07 6.206e-17
2.043e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
2.055e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -3.576e-07 -4.654e-17 3.576e-07 4.654e-17
2.068e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
2.080e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -4.768e-07 -6.206e-17 4.768e-07 6.206e-17
2.093e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
2.105e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
2.118e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
2.130e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
2.143e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -4.768e-07 -6.206e-17 4.768e-07 6.206e-17
2.155e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -3.576e-07 -4.654e-17 3.576e-07 4.654e-17
2.168e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -3.576e-07 -4.654e-17 3.576e-07 4.654e-17
2.180e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -1.192e-07 -1.551e-17 1.192e-07 1.551e-17
2.193e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -3.576e-07 -4.654e-17 3.576e-07 4.654e-17
2.206e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
2.218e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -3.576e-07 -4.654e-17 3.576e-07 4.654e-17
2.231e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -4.768e-07 -6.206e-17 4.768e-07 6.206e-17
2.243e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -4.768e-07 -6.206e-17 4.768e-07 6.206e-17
2.256e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
2.268e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
2.281e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
2.293e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -4.768e-07 -6.206e-17 4.768e-07 6.206e-17
2.306e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -4.768e-07 -6.206e-17 4.768e-07 6.206e-17
2.318e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -3.576e-07 -4.654e-17 3.576e-07 4.654e-17
2.331e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -1.192e-07 -1.551e-17 1.192e-07 1.551e-17
2.343e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -1.192e-07 -1.551e-17 1.192e-07 1.551e-17
2.356e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
2.368e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -1.192e-07 -1.551e-17 1.192e-07 1.551e-17
2.381e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
2.393e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -4.768e-07 -6.206e-17 4.768e-07 6.206e-17
2.406e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -3.576e-07 -4.654e-17 3.576e-07 4.654e-17
2.419e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
2.431e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
2.444e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
2.456e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -3.576e-07 -4.654e-17 3.576e-07 4.654e-17
2.469e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -4.768e-07 -6.206e-17 4.768e-07 6.206e-17
2.481e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
2.494e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -4.768e-07 -6.206e-17 4.768e-07 6.206e-17
2.506e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -1.192e-07 -1.551e-17 1.192e-07 1.551e-17
2.519e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
2.531e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
2.544e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
2.556e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
2.569e+02 9.300e+01 3.000e+02 0.000e+00 0.000e+00 -2.384e-07 -3.103e-17 2.384e-07 3.103e-17
